"OBJECTID","SOURCE_SYSTEM_TYPE","SOURCE_SYSTEM","NWCG_REPORTING_UNIT_NAME","SOURCE_REPORTING_UNIT_NAME","FIRE_YEAR","Month","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","NWCG_CAUSE_AGE_CATEGORY","CONT_TIME","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE","FIPS_NAME"
480448,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Southern Maryland District",2018,"April","Human","Misuse of fire by a minor","Minor",1700,0.2,"A",38.25860999,-76.45361,"PRIVATE","MD","St. Mary's County"
480449,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",1800,7.5,"B",39.57500001,-79.36666997,"PRIVATE","MD","Garrett County"
480450,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Arson/incendiarism","",1500,0.1,"A",38.60833001,-75.95834002,"PRIVATE","MD","Dorchester County"
480451,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",310,0.1,"A",39.43013,-79.35672001,"PRIVATE","MD","Garrett County"
480452,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Central Maryland District",2018,"April","Human","Recreation and ceremony","",1500,0.6,"B",39.605,-75.94916997,"PRIVATE","MD","Cecil County"
480453,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Equipment and vehicle use","",1812,0.2,"A",38.95833002,-75.83334001,"PRIVATE","MD","Caroline County"
480454,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",1747,0.1,"A",38.74999999,-76.04165998,"STATE","MD","Talbot County"
480455,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",1336,0.1,"A",38.70833,-76.125,"STATE","MD","Talbot County"
480456,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Southern Maryland District",2018,"April","Human","Debris and open burning","",1500,0.1,"A",38.49500001,-76.62250002,"PRIVATE","MD","Calvert County"
480457,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",2000,3.5,"B",39.55,-78.63333001,"PRIVATE","MD","Allegany County"
480458,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Natural","Natural","",1340,0.5,"B",38.42389001,-75.13332999,"PRIVATE","MD","Worcester County"
480459,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Debris and open burning","",1500,1.5,"B",38.16527998,-75.55250001,"STATE","MD","Somerset County"
480460,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Smoking","",1700,1,"B",38.14583,-75.53333002,"PRIVATE","MD","Worcester County"
480461,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",900,0.1,"A",39.62499998,-78.81666998,"PRIVATE","MD","Allegany County"
480462,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Arson/incendiarism","",1515,1.5,"B",39.61111001,-78.59805002,"STATE","MD","Allegany County"
480463,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",1620,0.3,"B",39.33332998,-77.62499997,"PRIVATE","MD","Frederick County"
480464,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",1620,0.1,"A",39.33332998,-77.62499997,"PRIVATE","MD","Frederick County"
480465,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",1802,1,"B",39.33332998,-77.62499997,"PRIVATE","MD","Frederick County"
480466,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",1220,0.2,"A",39.29167,-77.54166,"PRIVATE","MD","Frederick County"
480467,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",1150,0.2,"A",39.33332998,-77.29165999,"PRIVATE","MD","Frederick County"
480468,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",1600,0.6,"B",39.70833,-77.29165999,"PRIVATE","MD","Frederick County"
480469,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Misuse of fire by a minor","Minor",1630,0.1,"A",39.36665998,-77.41665999,"PRIVATE","MD","Frederick County"
480470,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Smoking","",1030,0.3,"B",39.25000002,-77.36666998,"PRIVATE","MD","Frederick County"
480471,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",1301,0.1,"A",39.66666997,-77.50000002,"PRIVATE","MD","Frederick County"
480472,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Smoking","",1620,0.1,"A",39.70833,-77.58333999,"STATE","MD","Washington County"
480473,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Smoking","",1515,0.2,"A",39.33332998,-77.29165999,"PRIVATE","MD","Frederick County"
480474,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",1345,0.1,"A",39.37499997,-77.50000002,"PRIVATE","MD","Frederick County"
480475,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",NA,0.1,"A",39.61665999,-77.78332998,"PRIVATE","MD","Washington County"
480476,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Arson/incendiarism","",800,1.1,"B",39.49999998,-77.45833999,"PRIVATE","MD","Frederick County"
480477,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",1732,0.1,"A",39.61665999,-77.42499999,"PRIVATE","MD","Frederick County"
480478,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",1420,0.5,"B",39.67508001,-79.45562998,"PRIVATE","MD","Garrett County"
480479,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",1700,0.1,"A",39.48805999,-79.28360998,"PRIVATE","MD","Garrett County"
480480,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",1305,0.1,"A",39.61007001,-79.26222998,"PRIVATE","MD","Garrett County"
480481,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",1800,0.5,"B",39.47575002,-79.40383997,"PRIVATE","MD","Garrett County"
480482,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",1845,2,"B",39.41171997,-79.45123001,"PRIVATE","MD","Garrett County"
480483,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",1500,0.3,"B",39.51231001,-79.35536001,"PRIVATE","MD","Garrett County"
480484,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",2150,8.7,"B",39.46359999,-79.22381,"PRIVATE","MD","Garrett County"
480485,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Central Maryland District",2018,"April","Human","Arson/incendiarism","",1630,0.3,"B",39.41658,-76.32115999,"MUNICIPAL/LOCAL","MD","Harford County"
480486,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Central Maryland District",2018,"April","Human","Arson/incendiarism","",1905,3,"B",39.69615001,-76.54807001,"PRIVATE","MD","Harford County"
480487,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Southern Maryland District",2018,"April","Human","Equipment and vehicle use","",1641,5,"B",38.98971997,-76.71499998,"MUNICIPAL/LOCAL","MD","Prince George's County"
480488,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Misuse of fire by a minor","Minor",1415,4,"B",39.23332999,-76.98333002,"PRIVATE","MD","Queen Anne's County"
480489,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Equipment and vehicle use","",1330,1.5,"B",38.18333002,-75.82110998,"PRIVATE","MD","Somerset County"
